personaLabel	genderLabel	age	coord	articolo
Agostino Spataro	maschio	71	Point(13.556111111 37.388055555)	https://it.wikipedia.org/wiki/Agostino_Spataro
Agostino Ziino	maschio	82	Point(13.361262 38.115658)	https://it.wikipedia.org/wiki/Agostino_Ziino
Aimaro Isola	maschio	91	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Aimaro_Isola
Aisha Cerami	femmina	49	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Aisha_Cerami
Al Bano	maschio	76	Point(17.966666666 40.466666666)	https://it.wikipedia.org/wiki/Al_Bano
Al Cliver	maschio	68	Point(29.916666666 31.2)	https://it.wikipedia.org/wiki/Al_Cliver
Alan Cappelli Goetz	maschio	32	Point(4.400277777 51.217777777)	https://it.wikipedia.org/wiki/Alan_Cappelli_Goetz
Alan De Luca	maschio	59	Point(14.25 40.833333333)	https://it.wikipedia.org/wiki/Alan_De_Luca
Alan Ferrari	maschio	44	Point(9.155 45.185280555)	https://it.wikipedia.org/wiki/Alan_Ferrari
Alba Donati	femmina	58	Point(10.516666666 43.85)	https://it.wikipedia.org/wiki/Alba_Donati
Alba Parietti	femmina	58	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Alba_Parietti
Alba Rigazzi	femmina	72	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Alba_Rigazzi
Alba Rohrwacher	femmina	40	Point(11.254166666 43.771388888)	https://it.wikipedia.org/wiki/Alba_Rohrwacher
Alba Rohrwacher	femmina	39	Point(11.254166666 43.771388888)	https://it.wikipedia.org/wiki/Alba_Rohrwacher
Alba Sasso	femmina	73	Point(16.866666666 41.125277777)	https://it.wikipedia.org/wiki/Alba_Sasso
Albano Bufalini	maschio	80	Point(12.703333333 42.956111111)	https://it.wikipedia.org/wiki/Albano_Bufalini
Albarosa Sisca	femmina	74	Point(17.116666666 39.083333333)	https://it.wikipedia.org/wiki/Albarosa_Sisca
Albert Lanièce	maschio	53	Point(7.320555555 45.737222222)	https://it.wikipedia.org/wiki/Albert_Lani%C3%A8ce
Alberta De Simone	femmina	71	Point(15.016666666 40.85)	https://it.wikipedia.org/wiki/Alberta_De_Simone
Albertina Soliani	femmina	75	Point(10.55 44.9)	https://it.wikipedia.org/wiki/Albertina_Soliani
Albertino Gabana	maschio	65	Point(12.6563 45.9626)	https://it.wikipedia.org/wiki/Albertino_Gabana
Alberto Abruzzese	maschio	77	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Abruzzese
Alberto Acierno	maschio	59	Point(13.361262 38.115658)	https://it.wikipedia.org/wiki/Alberto_Acierno
Alberto Airola	maschio	49	Point(7.683333 45.0)	https://it.wikipedia.org/wiki/Alberto_Airola
Alberto Alessi	maschio	80	Point(14.066666666 37.483333333)	https://it.wikipedia.org/wiki/Alberto_Alessi
Alberto Alessi	maschio	80	Point(14.06216 37.49025)	https://it.wikipedia.org/wiki/Alberto_Alessi
Alberto Angela	maschio	57	Point(2.351827777 48.856577777)	https://it.wikipedia.org/wiki/Alberto_Angela
Alberto Angrisano	maschio	56	Point(14.25 40.833333333)	https://it.wikipedia.org/wiki/Alberto_Angrisano
Alberto Arbasino	maschio	89	Point(9.009166666 44.9925)	https://it.wikipedia.org/wiki/Alberto_Arbasino
Alberto Arrighi	maschio	51	Point(9.4 45.85)	https://it.wikipedia.org/wiki/Alberto_Arrighi
Alberto Asor Rosa	maschio	86	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Asor_Rosa
Alberto Bagnai	maschio	57	Point(11.254166666 43.771388888)	https://it.wikipedia.org/wiki/Alberto_Bagnai
Alberto Balboni	maschio	60	Point(11.619865 44.835297)	https://it.wikipedia.org/wiki/Alberto_Balboni
Alberto Barachini	maschio	47	Point(10.4 43.716666666)	https://it.wikipedia.org/wiki/Alberto_Barachini
Alberto Bassetti	maschio	64	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Bassetti
Alberto Basso	maschio	88	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Alberto_Basso
Alberto Beretta Anguissola	maschio	72	Point(11.254166666 43.771388888)	https://it.wikipedia.org/wiki/Alberto_Beretta_Anguissola
Alberto Bilà	maschio	55	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Bil%C3%A0
Alberto Bognanni	maschio	56	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Bognanni
Alberto Bombassei	maschio	79	Point(11.55 45.55)	https://it.wikipedia.org/wiki/Alberto_Bombassei
Alberto Bonisoli	maschio	58	Point(10.975555555 45.188888888)	https://it.wikipedia.org/wiki/Alberto_Bonisoli
Alberto Burgio	maschio	64	Point(13.361262 38.115658)	https://it.wikipedia.org/wiki/Alberto_Burgio
Alberto Cairo	maschio	67	Point(8.033333333 44.383333333)	https://it.wikipedia.org/wiki/Alberto_Cairo
Alberto Capitta	maschio	65	Point(8.559166666 40.726666666)	https://it.wikipedia.org/wiki/Alberto_Capitta
Alberto Carpinteri	maschio	67	Point(11.342777777 44.493888888)	https://it.wikipedia.org/wiki/Alberto_Carpinteri
Alberto Casadei	maschio	56	Point(12.040833333 44.2225)	https://it.wikipedia.org/wiki/Alberto_Casadei_(critico)
Alberto Casiraghi	maschio	67	Point(9.383333333 45.683333333)	https://it.wikipedia.org/wiki/Alberto_Casiraghi
Alberto Castaldini	maschio	49	Point(10.993741666 45.438158333)	https://it.wikipedia.org/wiki/Alberto_Castaldini
Alberto Cavalli	maschio	66	Point(10.220280555 45.538888888)	https://it.wikipedia.org/wiki/Alberto_Cavalli_(politico)
Alberto Cirio	maschio	47	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Alberto_Cirio
Alberto Cola	maschio	52	Point(13.2841 43.208611111)	https://it.wikipedia.org/wiki/Alberto_Cola
Alberto Corradi	maschio	48	Point(10.993741666 45.438158333)	https://it.wikipedia.org/wiki/Alberto_Corradi
Alberto Cova	maschio	61	Point(9.216666666 45.733333333)	https://it.wikipedia.org/wiki/Alberto_Cova
Alberto Custerlina	maschio	54	Point(13.804166666 45.636111111)	https://it.wikipedia.org/wiki/Alberto_Custerlina
Alberto Dati	maschio	44	Point(17.240833333 40.418055555)	https://it.wikipedia.org/wiki/Alberto_Dati
Alberto Dell'Acqua	maschio	81	Point(14.6684 41.561)	https://it.wikipedia.org/wiki/Alberto_Dell%27Acqua
Alberto Di Stasio	maschio	69	Point(14.25 40.833333333)	https://it.wikipedia.org/wiki/Alberto_Di_Stasio
Alberto Duval	maschio	56	Point(15.733333333 41.7)	https://it.wikipedia.org/wiki/Alberto_Duval
Alberto Ercolani	maschio	70	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Ercolani
Alberto Ferrari	maschio	19	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Alberto_Ferrari_(regista)
Alberto Fezzi	maschio	42	Point(10.993741666 45.438158333)	https://it.wikipedia.org/wiki/Alberto_Fezzi
Alberto Filippi	maschio	53	Point(11.55 45.55)	https://it.wikipedia.org/wiki/Alberto_Filippi
Alberto Fluvi	maschio	61	Point(10.95 43.716666666)	https://it.wikipedia.org/wiki/Alberto_Fluvi
Alberto Franceschini	maschio	72	Point(10.633333333 44.7)	https://it.wikipedia.org/wiki/Alberto_Franceschini
Alberto Frizziero	maschio	83	Point(12.27854 45.21891)	https://it.wikipedia.org/wiki/Alberto_Frizziero
Alberto Garlini	maschio	50	Point(10.328 44.801472222)	https://it.wikipedia.org/wiki/Alberto_Garlini
Alberto Gimignani	maschio	58	Point(11.95 43.016666666)	https://it.wikipedia.org/wiki/Alberto_Gimignani
Alberto Giorgetti	maschio	52	Point(10.993741666 45.438158333)	https://it.wikipedia.org/wiki/Alberto_Giorgetti
Alberto Giovanni Biuso	maschio	59	Point(14.833333333 37.8)	https://it.wikipedia.org/wiki/Alberto_Giovanni_Biuso
Alberto Giuliani	maschio	44	Point(12.9133 43.91015)	https://it.wikipedia.org/wiki/Alberto_Giuliani_(fotografo)
Alberto Gozzi	maschio	76	Point(11.342777777 44.493888888)	https://it.wikipedia.org/wiki/Alberto_Gozzi
Alberto Guarnieri	maschio	64	Point(10.328 44.801472222)	https://it.wikipedia.org/wiki/Alberto_Guarnieri
Alberto Gusmeroli	maschio	58	Point(8.833333333 45.816666666)	https://it.wikipedia.org/wiki/Alberto_Gusmeroli
Alberto Isidori	maschio	77	Point(9.233333333 44.35)	https://it.wikipedia.org/wiki/Alberto_Isidori
Alberto Lembo	maschio	75	Point(11.130277777 45.372777777)	https://it.wikipedia.org/wiki/Alberto_Lembo
Alberto Losacco	maschio	49	Point(17.945833333 40.638333333)	https://it.wikipedia.org/wiki/Alberto_Losacco
Alberto Luca Recchi	maschio	64	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Luca_Recchi
Alberto Maccari	maschio	72	Point(12.116666666 42.866666666)	https://it.wikipedia.org/wiki/Alberto_Maccari
Alberto Macchi	maschio	78	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Macchi_(regista)
Alberto Maggi	maschio	74	Point(13.516666666 43.616666666)	https://it.wikipedia.org/wiki/Alberto_Maggi
Alberto Manca	maschio	36	Point(9.3280792 40.3200621)	https://it.wikipedia.org/wiki/Alberto_Manca
Alberto Manchinu	maschio	80	Point(10.866666666 43.4)	https://it.wikipedia.org/wiki/Alberto_Manchinu
Alberto Mario Banti	maschio	62	Point(10.4 43.716666666)	https://it.wikipedia.org/wiki/Alberto_Mario_Banti
Alberto Maritati	maschio	79	Point(18.169138888 40.352011111)	https://it.wikipedia.org/wiki/Alberto_Maritati
Alberto Masala	maschio	69	Point(9.0032852 40.5848706)	https://it.wikipedia.org/wiki/Alberto_Masala
Alberto Matano	maschio	47	Point(16.5875 38.91)	https://it.wikipedia.org/wiki/Alberto_Matano
Alberto Melis	maschio	62	Point(9.116666666 39.216666666)	https://it.wikipedia.org/wiki/Alberto_Melis
Alberto Melloni	maschio	60	Point(10.633333333 44.7)	https://it.wikipedia.org/wiki/Alberto_Melloni
Alberto Michelini	maschio	78	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Michelini
Alberto Mingardi	maschio	38	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Alberto_Mingardi
Alberto Molinari	maschio	54	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Molinari
Alberto Molonia	maschio	54	Point(15.55 38.183333333)	https://it.wikipedia.org/wiki/Alberto_Molonia
Alberto Monaci	maschio	78	Point(11.560833333 43.234166666)	https://it.wikipedia.org/wiki/Alberto_Monaci
Alberto Monticone	maschio	88	Point(7.9 44.75)	https://it.wikipedia.org/wiki/Alberto_Monticone
Alberto Nigra	maschio	55	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Alberto_Nigra
Alberto Olivero	maschio	60	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Alberto_Olivero
Alberto Pacher	maschio	63	Point(11.11666667 46.06666667)	https://it.wikipedia.org/wiki/Alberto_Pacher
Alberto Pagani	maschio	48	Point(12.041111111 44.506111111)	https://it.wikipedia.org/wiki/Alberto_Pagani_(politico)
Alberto Pallotta	maschio	53	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Pallotta
